accession_id,virus_name,collection_date
EPI_ISL_1014858,hCoV-19/USA/MI-UM-10038103155/2021,2021-02-01
EPI_ISL_1014861,hCoV-19/USA/MI-UM-10038114307/2021,2021-02-01
EPI_ISL_682178,hCoV-19/USA/MI-UM-10036743097/2020,2020-11-02
EPI_ISL_1082453,hCoV-19/USA/OH-ODH-SC1032617/2021,2021-01-15
EPI_ISL_1032264,hCoV-19/USA/MI-CDC-LC0009303/2021,2021-01-22
EPI_ISL_707867,hCoV-19/USA/MI-UM-10036775247/2020,2020-11-04
EPI_ISL_804707,hCoV-19/USA/MI-MDHHS-SC22726/2020,2020-12-09
EPI_ISL_1159602,hCoV-19/USA/MI-CDC-22054883/2021,2021-02-15
EPI_ISL_1159498,hCoV-19/USA/MI-CDC-22029565/2021,2021-02-10
EPI_ISL_1038577,hCoV-19/USA/AZ-CDC-LC0012026/2021,2021-01-28
EPI_ISL_1029896,hCoV-19/USA/FL-CDC-LC0002748/2020,2020-12-31
EPI_ISL_1032500,hCoV-19/USA/IA-CDC-LC0008648/2021,2021-01-20
EPI_ISL_751740,hCoV-19/USA/MO-CDC-2-3714287/2020,2020-11-30
EPI_ISL_1029162,hCoV-19/USA/MO-CDC-LC0000292/2020,2020-12-26
EPI_ISL_888483,hCoV-19/USA/MO-CDC-LC00000292/2020,2020-12-26
EPI_ISL_1094313,hCoV-19/USA/KS-CDC-2-3845841/2021,2021-01-19
EPI_ISL_1029575,hCoV-19/USA/KS-CDC-LC0001562/2021,2021-01-02
EPI_ISL_1134362,hCoV-19/USA/IL-CDC-STM-000012869/2021,2021-02-11
EPI_ISL_1088358,hCoV-19/USA/MO-CDC-21753320/2021,2021-02-06
EPI_ISL_1049852,hCoV-19/USA/KS-KHEL-0169/2021,2021-02-05
EPI_ISL_1049850,hCoV-19/USA/KS-KHEL-0170/2021,2021-02-05
EPI_ISL_1087614,hCoV-19/USA/MO-CDC-21673469/2021,2021-02-01
EPI_ISL_831887,hCoV-19/USA/NE-USAFSAM-S733/2020,2020-12-21
EPI_ISL_886602,hCoV-19/USA/MO-CDC-LC0003203/2021,2021-01-10
EPI_ISL_888498,hCoV-19/USA/MO-CDC-LC00000346/2020,2020-12-26
EPI_ISL_1029176,hCoV-19/USA/MO-CDC-LC0000346/2020,2020-12-26
EPI_ISL_962092,hCoV-19/USA/IL-IDPH-I-000553/2020,2020-12-11
EPI_ISL_962123,hCoV-19/USA/IL-IDPH-I-000774/2020,2020-12-15
EPI_ISL_1087238,hCoV-19/USA/NH-CDC-21488654/2021,2021-01-26
EPI_ISL_1159491,hCoV-19/USA/IL-CDC-22030710/2021,2021-02-10
EPI_ISL_1032155,hCoV-19/USA/NC-CDC-LC0010279/2021,2021-01-25
EPI_ISL_1029618,hCoV-19/USA/IL-CDC-LC0001741/2020,2020-12-27
EPI_ISL_1029641,hCoV-19/USA/IL-CDC-LC0001833/2020,2020-12-27
EPI_ISL_888203,hCoV-19/USA/IL-CDC-LC00001741/2020,2020-12-27
EPI_ISL_883753,hCoV-19/USA/AL-HGSC-JGAB/2020,2020-12-03
EPI_ISL_1097683,hCoV-19/USA/AL-HGSC-JIEC/2021,2021-02-06
EPI_ISL_883748,hCoV-19/USA/AL-HGSC-JFYT/2020,2020-12-03
EPI_ISL_877288,hCoV-19/USA/AL-HGSC-JERT/2020,2020-11-11
EPI_ISL_1097648,hCoV-19/USA/AL-HGSC-JICI/2021,2021-02-05
EPI_ISL_1097666,hCoV-19/USA/AL-HGSC-JIDG/2021,2021-02-05
EPI_ISL_779094,hCoV-19/USA/LA-EVTL1428/2020,2020-12-14
EPI_ISL_883269,hCoV-19/USA/AL-Jefferson-JFIY/2020,2020-11-30
EPI_ISL_1134473,hCoV-19/USA/FL-CDC-STM-000013066/2021,2021-02-10
EPI_ISL_779095,hCoV-19/USA/LA-EVTL1429/2020,2020-12-14
EPI_ISL_1160931,hCoV-19/USA/TN-CDC-LC0018325/2021,2021-02-15
EPI_ISL_1031877,hCoV-19/USA/GA-CDC-LC0010021/2021,2021-01-22
EPI_ISL_1031875,hCoV-19/USA/NC-CDC-LC0010898/2021,2021-01-27
EPI_ISL_1089331,hCoV-19/USA/AL-CDC-STM-000007568/2021,2021-01-29
EPI_ISL_966973,hCoV-19/USA/AL-CDC-STM-000005644/2021,2021-01-27
EPI_ISL_889538,hCoV-19/USA/LA-EVTL1558/2020,2020-12-31
EPI_ISL_978737,hCoV-19/USA/TX-CDC-STM-000008206/2021,2021-01-08
EPI_ISL_1032084,hCoV-19/USA/AL-CDC-LC0009874/2021,2021-01-25
EPI_ISL_1097701,hCoV-19/USA/AL-HGSC-JIEX/2021,2021-02-06
EPI_ISL_1097700,hCoV-19/USA/AL-HGSC-JIEW/2021,2021-02-06
EPI_ISL_1097699,hCoV-19/USA/AL-HGSC-JIEU/2021,2021-02-06
EPI_ISL_1161057,hCoV-19/USA/NC-CDC-LC0017438/2021,2021-02-15
EPI_ISL_1016633,hCoV-19/USA/NC-CDC-STM-000008451/2021,2021-01-31
EPI_ISL_1087012,hCoV-19/USA/LA-CDC-21490412/2021,2021-01-23
EPI_ISL_1078558,hCoV-19/USA/TX-HMH-MCoV-24028/2021,2021-01-15
EPI_ISL_884107,hCoV-19/USA/AL-HGSC-JGPA/2021,2021-01-05
EPI_ISL_1097667,hCoV-19/USA/AL-HGSC-JIDH/2021,2021-02-05
EPI_ISL_1097685,hCoV-19/USA/AL-HGSC-JIEE/2021,2021-02-06
EPI_ISL_1097687,hCoV-19/USA/AL-HGSC-JIEG/2021,2021-02-06
EPI_ISL_1163260,hCoV-19/USA/AL-CDC-LC0015644/2021,2021-02-10
EPI_ISL_886314,hCoV-19/USA/AL-CDC-LC0004974/2021,2021-01-05
EPI_ISL_884093,hCoV-19/USA/AL-HGSC-JGNJ/2021,2021-01-05
EPI_ISL_1089378,hCoV-19/USA/FL-CDC-STM-000010691/2021,2021-02-07
EPI_ISL_979533,hCoV-19/USA/AL-HGSC-JHLW/2021,2021-01-27
EPI_ISL_905912,hCoV-19/USA/OR-OHSU-9158/2021,2021-01-03
EPI_ISL_1049943,hCoV-19/USA/FL-BPHL-0345/2021,2021-01-26
EPI_ISL_886273,hCoV-19/USA/FL-CDC-LC0005080/2021,2021-01-05
EPI_ISL_967590,hCoV-19/USA/FL-CDC-STM-000003635/2021,2021-01-18
EPI_ISL_967481,hCoV-19/USA/MS-CDC-STM-000004120/2021,2021-01-19
EPI_ISL_967028,hCoV-19/USA/MS-CDC-STM-000005431/2021,2021-01-26
EPI_ISL_1163352,hCoV-19/USA/AL-CDC-LC0014849/2021,2021-02-10
EPI_ISL_635953,hCoV-19/USA/CA-ALSR-3293/2020,2020-09-20
EPI_ISL_682102,hCoV-19/USA/MI-UM-10036650310/2020,2020-10-27
EPI_ISL_803508,hCoV-19/USA/WI-WSLH-201281/2020,2020-09-09
EPI_ISL_728004,hCoV-19/USA/WI-UW-2234/2020,2020-11-13
EPI_ISL_677632,hCoV-19/USA/WI-UW-2229/2020,2020-11-03
EPI_ISL_942622,hCoV-19/USA/WI-GMF-39626/2020,2020-12-06
EPI_ISL_661066,hCoV-19/USA/WI-GMF-30919/2020,2020-11-02
EPI_ISL_728134,hCoV-19/USA/WI-UW-2368/2020,2020-11-02
EPI_ISL_677615,hCoV-19/USA/WI-UW-2212/2020,2020-10-25
EPI_ISL_913221,hCoV-19/USA/MI-UM-10036992583/2020,2020-11-17
EPI_ISL_913233,hCoV-19/USA/MI-UM-10036992392/2020,2020-11-17
EPI_ISL_1133044,hCoV-19/USA/MI-UM-10037052750/2020,2020-11-20
EPI_ISL_1133049,hCoV-19/USA/MI-UM-10037066635/2020,2020-11-21
EPI_ISL_728465,hCoV-19/USA/MI-UM-10036835250/2020,2020-11-07
EPI_ISL_728513,hCoV-19/USA/MI-UM-10036861408/2020,2020-11-09
EPI_ISL_826369,hCoV-19/USA/MI-UM-10036860874/2020,2020-11-09
EPI_ISL_1133058,hCoV-19/USA/MI-UM-10037057006/2020,2020-11-20
EPI_ISL_1076002,hCoV-19/USA/TX-HMH-MCoV-21556/2021,2021-01-07
EPI_ISL_605616,hCoV-19/USA/WI-UW-1743/2020,2020-09-22
EPI_ISL_831563,hCoV-19/USA/WI-UW-2782/2021,2021-01-04
EPI_ISL_872831,hCoV-19/USA/WI-UW-2897/2021,2021-01-05
EPI_ISL_872836,hCoV-19/USA/WI-UW-2903/2021,2021-01-05
EPI_ISL_942243,hCoV-19/USA/WI-WSLH-202022/2020,2020-12-12
EPI_ISL_906264,hCoV-19/USA/WI-UW-3097/2020,2020-12-10
EPI_ISL_1158990,hCoV-19/USA/OH-CDC-22018984/2021,2021-02-10
EPI_ISL_1091022,hCoV-19/USA/WA-CDC-21804065/2021,2021-02-05
EPI_ISL_1049491,hCoV-19/USA/AK-PHL6770/2021,2021-01-29
EPI_ISL_1068301,hCoV-19/USA/AK-PHL6857/2021,2021-02-05
EPI_ISL_1068293,hCoV-19/USA/AK-PHL6847/2021,2021-01-30
EPI_ISL_936984,hCoV-19/USA/WI-NM-5947/2021,2021-01-08
EPI_ISL_1169737,hCoV-19/USA/CO-CDPHE-2100425045/2021,2021-02-15
EPI_ISL_1158448,hCoV-19/USA/MI-MDHHS-SC23791/2021,2021-02-10
EPI_ISL_1029632,hCoV-19/USA/WI-CDC-LC0001798/2020,2020-12-26
EPI_ISL_906225,hCoV-19/USA/WI-UW-3063/2021,2021-01-21
EPI_ISL_1159855,hCoV-19/USA/WI-WSLH-211300/2021,2021-02-02
EPI_ISL_872796,hCoV-19/USA/WI-UW-2860/2021,2021-01-14
EPI_ISL_872791,hCoV-19/USA/WI-UW-2854/2021,2021-01-12
EPI_ISL_1017562,hCoV-19/USA/CT-Yale-1155/2020,2020-12-07
EPI_ISL_888094,hCoV-19/USA/NC-CDC-LC00002648/2021,2021-01-03
EPI_ISL_1029859,hCoV-19/USA/NC-CDC-LC0002648/2021,2021-01-03
EPI_ISL_936749,hCoV-19/USA/IL-NM-5085/2020,2020-12-23
EPI_ISL_1067835,hCoV-19/USA/WI-WSLH-211059/2021,2021-02-02
EPI_ISL_1064323,hCoV-19/USA/WI-UW-3397/2021,2021-02-03
EPI_ISL_906175,hCoV-19/USA/WI-UW-2994/2021,2021-01-12
EPI_ISL_984225,hCoV-19/USA/WI-WSLH-210974/2021,2021-01-29
EPI_ISL_770814,hCoV-19/USA/MN-MDH-2240/2020,2020-11-30
EPI_ISL_942841,hCoV-19/USA/IA-GMF-49510/2021,2021-01-16
EPI_ISL_942838,hCoV-19/USA/IA-GMF-49459/2021,2021-01-15
EPI_ISL_1113188,hCoV-19/USA/IA-GMF-52611/2021,2021-01-29
EPI_ISL_942831,hCoV-19/USA/IA-GMF-49259/2021,2021-01-14
EPI_ISL_942860,hCoV-19/USA/IA-GMF-50340/2021,2021-01-19
EPI_ISL_942840,hCoV-19/USA/IA-GMF-49508/2021,2021-01-16
EPI_ISL_942857,hCoV-19/USA/IA-GMF-50146/2021,2021-01-18
EPI_ISL_1064527,hCoV-19/USA/MN-MDH-2782/2021,2021-01-26
EPI_ISL_1132733,hCoV-19/USA/MN-MDH-2864/2021,2021-01-28
EPI_ISL_1064538,hCoV-19/USA/MN-MDH-2801/2021,2021-01-20
EPI_ISL_982711,hCoV-19/USA/NE-USAFSAM-S0050/2021,2021-01-05
EPI_ISL_770481,hCoV-19/USA/WY-WPHL-20172338/2020,2020-12-30
EPI_ISL_803464,hCoV-19/USA/WI-WSLH-201224/2020,2020-10-26
EPI_ISL_803267,hCoV-19/USA/WI-WSLH-200978/2020,2020-10-05
EPI_ISL_976970,hCoV-19/USA/MA-Broad_CRSP-00388/2021,2021-01-08
EPI_ISL_976999,hCoV-19/USA/MA-Broad_CRSP-00416/2021,2021-01-08
EPI_ISL_1029840,hCoV-19/USA/NC-CDC-LC0002596/2021,2021-01-03
EPI_ISL_791103,hCoV-19/USA/WI-UW-2585/2021,2021-01-04
EPI_ISL_1067820,hCoV-19/USA/WI-WSLH-211000/2021,2021-01-26
EPI_ISL_984227,hCoV-19/USA/WI-WSLH-210976/2021,2021-01-29
EPI_ISL_873250,hCoV-19/USA/MN-MDH-2392/2021,2021-01-06
EPI_ISL_734400,hCoV-19/USA/NY-Wadsworth-252369-01/2020,2020-10-22
EPI_ISL_886601,hCoV-19/USA/WI-CDC-LC0004124/2021,2021-01-02
EPI_ISL_754671,hCoV-19/USA/WI-UW-2412/2020,2020-12-05
EPI_ISL_984029,hCoV-19/USA/WI-WSLH-210140/2021,2021-01-08
EPI_ISL_967079,hCoV-19/USA/WI-CDC-STM-000005364/2021,2021-01-23
EPI_ISL_1067900,hCoV-19/USA/WI-WSLH-210186/2020,2020-12-28
EPI_ISL_1133095,hCoV-19/USA/MI-UM-10037087362/2020,2020-11-23
EPI_ISL_1074701,hCoV-19/USA/TX-HMH-MCoV-20260/2021,2021-01-05
EPI_ISL_942229,hCoV-19/USA/WI-WSLH-202004/2020,2020-12-13
EPI_ISL_936995,hCoV-19/USA/IL-NM-5961/2021,2021-01-09
EPI_ISL_903264,hCoV-19/USA/MN-MDH-2450/2020,2020-12-27
EPI_ISL_832655,hCoV-19/USA/OR-OHSU-4109/2020,2020-10-30
EPI_ISL_831868,hCoV-19/USA/KS-USAFSAM-S689/2020,2020-12-11
EPI_ISL_812731,hCoV-19/USA/NY-NYCPHL-001802/2020,2020-12-15
EPI_ISL_936630,hCoV-19/USA/IL-NM-3970/2020,2020-11-29
EPI_ISL_1076715,hCoV-19/USA/TX-HMH-MCoV-22187/2021,2021-01-09
EPI_ISL_1074752,hCoV-19/USA/TX-HMH-MCoV-20310/2021,2021-01-05
EPI_ISL_1077165,hCoV-19/USA/TX-HMH-MCoV-22637/2020,2020-12-31
EPI_ISL_1157482,hCoV-19/USA/IL-NM-6398/2021,2021-01-21
EPI_ISL_1032923,hCoV-19/USA/IL-IDPH-COO-I-0001064/2021,2021-01-21
EPI_ISL_1038700,hCoV-19/USA/IL-CDC-LC0011213/2021,2021-01-27
EPI_ISL_1094745,hCoV-19/USA/NE-CDC-2-3911710/2021,2021-01-08
EPI_ISL_1094744,hCoV-19/USA/NE-CDC-2-3911646/2021,2021-01-11
EPI_ISL_1090401,hCoV-19/USA/FL-CDC-21954217/2021,2021-02-10
EPI_ISL_1139547,hCoV-19/USA/PA-CDC-22057423/2021,2021-02-15
EPI_ISL_1160972,hCoV-19/USA/OH-CDC-LC0017143/2021,2021-02-12
EPI_ISL_966443,hCoV-19/USA/NY-NYCPHL-002879/2021,2021-01-28
EPI_ISL_1041534,hCoV-19/USA/NY-PRL-2021_02_15_00B11/2021,2021-02-13
EPI_ISL_984806,hCoV-19/USA/NY-PRL-2020_1229_01A05/2020,2020-12-26
EPI_ISL_937137,hCoV-19/USA/NY-NYCPHL-002561/2021,2021-01-19
EPI_ISL_937129,hCoV-19/USA/NY-NYCPHL-002551/2021,2021-01-19
EPI_ISL_857206,hCoV-19/USA/NY-NYCPHL-002124/2021,2021-01-04
EPI_ISL_896364,hCoV-19/USA/NY-Wadsworth-21010054-01/2021,2021-01-04
EPI_ISL_857123,hCoV-19/USA/NY-NYCPHL-002287/2021,2021-01-07
EPI_ISL_966481,hCoV-19/USA/NY-NYCPHL-002820/2021,2021-01-26
EPI_ISL_883464,hCoV-19/USA/NY-Wadsworth-21008798-01/2021,2021-01-06
EPI_ISL_1090917,hCoV-19/USA/MA-CDC-21865447/2021,2021-02-08
EPI_ISL_896342,hCoV-19/USA/NY-Wadsworth-21010007-01/2021,2021-01-04
EPI_ISL_994834,hCoV-19/USA/NY-PRL-2021_0202_02E09/2021,2021-01-30
EPI_ISL_984905,hCoV-19/USA/NY-PRL-2021_0125_00C03/2021,2021-01-19
EPI_ISL_1121954,hCoV-19/USA/NY-NYCPHL-003546/2021,2021-02-22
EPI_ISL_1041248,hCoV-19/USA/NY-PRL-2021_02_10_02D01/2021,2021-02-08
EPI_ISL_1011577,hCoV-19/USA/MA-MGH-04001/2021,2021-01-19
EPI_ISL_888037,hCoV-19/USA/WI-CDC-LC00001960/2020,2020-12-26
EPI_ISL_1163337,hCoV-19/USA/MD-CDC-LC0014475/2021,2021-02-09
EPI_ISL_1041552,hCoV-19/USA/NY-PRL-2021_02_15_00E12/2021,2021-02-13
EPI_ISL_1041752,hCoV-19/USA/NY-PRL-2021_02_17_00B14/2021,2021-02-14
EPI_ISL_984829,hCoV-19/USA/NY-PRL-2020_1229_01C02/2020,2020-12-27
EPI_ISL_984848,hCoV-19/USA/NY-PRL-2020_1229_01B11/2020,2020-12-27
EPI_ISL_994941,hCoV-19/USA/NY-PRL-2021_0208_00A10/2021,2021-02-05
EPI_ISL_1029689,hCoV-19/USA/WI-CDC-LC0001960/2020,2020-12-26
EPI_ISL_1041754,hCoV-19/USA/NY-PRL-2021_02_17_00B17/2021,2021-02-14
EPI_ISL_984836,hCoV-19/USA/NY-PRL-2020_1229_01E04/2020,2020-12-27
EPI_ISL_1050048,hCoV-19/USA/NY-NYULH167/2021,2021-01-18
EPI_ISL_966778,hCoV-19/USA/ME-HETL-J1349/2021,2021-01-05
EPI_ISL_966777,hCoV-19/USA/ME-HETL-J1348/2021,2021-01-05
EPI_ISL_1090461,hCoV-19/USA/NY-CDC-21875376/2021,2021-02-08
EPI_ISL_803437,hCoV-19/USA/WI-WSLH-201197/2020,2020-10-15
EPI_ISL_803355,hCoV-19/USA/WI-WSLH-201114/2020,2020-10-05
EPI_ISL_803392,hCoV-19/USA/WI-WSLH-201152/2020,2020-10-13
EPI_ISL_942021,hCoV-19/USA/WI-WSLH-201692/2020,2020-10-19
EPI_ISL_803330,hCoV-19/USA/WI-WSLH-201076/2020,2020-09-30
EPI_ISL_803382,hCoV-19/USA/WI-WSLH-201141/2020,2020-10-07
EPI_ISL_906240,hCoV-19/USA/WI-UW-3032/2021,2021-01-15
EPI_ISL_831513,hCoV-19/USA/WI-UW-2688/2021,2021-01-10
EPI_ISL_1067848,hCoV-19/USA/WI-WSLH-211062/2021,2021-02-03
EPI_ISL_1121577,hCoV-19/USA/MN-MDH-2972/2021,2021-02-05
EPI_ISL_1064401,hCoV-19/USA/MN-MDH-2853/2021,2021-02-05
EPI_ISL_791174,hCoV-19/USA/WI-UW-2660/2020,2020-12-31
EPI_ISL_1016321,hCoV-19/USA/NY-Wadsworth-21015555-01/2021,2021-01-16
EPI_ISL_937005,hCoV-19/USA/IL-NM-5973/2021,2021-01-09
EPI_ISL_1098050,hCoV-19/USA/NY-PRL-2021_02_19_00O23/2021,2021-02-16
EPI_ISL_1041549,hCoV-19/USA/NY-PRL-2021_02_15_00E06/2021,2021-02-13
EPI_ISL_1040904,hCoV-19/USA/NY-NYULH98/2021,2021-01-30
EPI_ISL_1021702,hCoV-19/USA/VA-CDC-LC0006195/2021,2021-01-18
EPI_ISL_1032574,hCoV-19/USA/IN-CDC-LC0008334/2021,2021-01-18
EPI_ISL_861022,hCoV-19/USA/MD-HP01183/2021,2021-01-10
EPI_ISL_876470,hCoV-19/USA/AL-Houston-JEIW/2020,2020-11-05
EPI_ISL_1091723,hCoV-19/USA/GA-USAFSAM-S0522/2021,2021-01-06
EPI_ISL_1081750,hCoV-19/USA/CA-ALSR-6989/2021,2021-01-13
EPI_ISL_671715,hCoV-19/USA/NY-NYCPHL-001132/2020,2020-10-26
EPI_ISL_671716,hCoV-19/USA/NY-NYCPHL-001133/2020,2020-10-26
EPI_ISL_677137,hCoV-19/USA/VA-DCLS-2095/2020,2020-10-21
EPI_ISL_967373,hCoV-19/USA/GA-CDC-STM-000002948/2021,2021-01-16
EPI_ISL_1075579,hCoV-19/USA/TX-HMH-MCoV-21135/2020,2020-12-31
EPI_ISL_1075506,hCoV-19/USA/TX-HMH-MCoV-21062/2020,2020-12-31
EPI_ISL_1088977,hCoV-19/USA/FL-CDC-STM-000008832/2021,2021-02-02
EPI_ISL_967015,hCoV-19/USA/GA-CDC-STM-000005630/2021,2021-01-26
EPI_ISL_966689,hCoV-19/USA/GA-CDC-STM-000004372/2021,2021-01-20
EPI_ISL_1021273,hCoV-19/USA/GA-CDC-LC0007104/2021,2021-01-19
EPI_ISL_965845,hCoV-19/USA/GA-GPHL-0007/2021,2021-01-12
EPI_ISL_886569,hCoV-19/USA/OK-CDC-LC0003050/2021,2021-01-08
EPI_ISL_1167949,hCoV-19/USA/GA-CDC-2-3780232/2020,2020-12-22
EPI_ISL_884861,hCoV-19/USA/GA-GPHL-0003/2020,2020-12-22
EPI_ISL_978770,hCoV-19/USA/GA-CDC-STM-000008128/2021,2021-01-07
EPI_ISL_1167948,hCoV-19/USA/GA-CDC-2-3806770/2020,2020-12-22
EPI_ISL_1167954,hCoV-19/USA/GA-CDC-2-3780243/2020,2020-12-22
EPI_ISL_1029698,hCoV-19/USA/GA-CDC-LC0001995/2020,2020-12-27
EPI_ISL_886254,hCoV-19/USA/TX-CDC-LC0003049/2021,2021-01-09
EPI_ISL_1161191,hCoV-19/USA/GA-CDC-LC0018178/2021,2021-02-12
EPI_ISL_888431,hCoV-19/USA/GA-CDC-LC00001188/2020,2020-12-27
EPI_ISL_1029446,hCoV-19/USA/GA-CDC-LC0001188/2020,2020-12-27
EPI_ISL_1090440,hCoV-19/USA/FL-CDC-21872367/2021,2021-02-08
EPI_ISL_1163517,hCoV-19/USA/GA-CDC-LC0016939/2021,2021-02-11
EPI_ISL_1031900,hCoV-19/USA/NC-CDC-LC0010965/2021,2021-01-27
EPI_ISL_1089015,hCoV-19/USA/GA-CDC-STM-000009217/2021,2021-02-03
EPI_ISL_967417,hCoV-19/USA/GA-CDC-STM-000002982/2021,2021-01-17
EPI_ISL_884171,hCoV-19/USA/AL-HGSC-JGRT/2021,2021-01-06
EPI_ISL_1016502,hCoV-19/USA/PR-DXWN/2021,2021-01-08
EPI_ISL_896411,hCoV-19/USA/NY-Wadsworth-21006641-01/2021,2021-01-11
EPI_ISL_1113887,hCoV-19/USA/MA-CDC-21995135/2021,2021-02-11
EPI_ISL_1097800,hCoV-19/USA/NY-PRL-2021_02_17_01G04/2021,2021-02-15
EPI_ISL_1041757,hCoV-19/USA/NY-PRL-2021_02_17_00B20/2021,2021-02-15
EPI_ISL_1139487,hCoV-19/USA/MA-CDC-22059809/2021,2021-02-16
EPI_ISL_883719,hCoV-19/USA/AL-HGSC-JGAA/2020,2020-12-03
EPI_ISL_877382,hCoV-19/USA/AL-HGSC-JEWW/2020,2020-11-18
EPI_ISL_1097678,hCoV-19/USA/AL-HGSC-JIDU/2021,2021-02-06
EPI_ISL_1021276,hCoV-19/USA/AL-CDC-LC0007140/2021,2021-01-19
EPI_ISL_1079196,hCoV-19/USA/TX-HMH-MCoV-24614/2021,2021-01-19
EPI_ISL_803786,hCoV-19/USA/WI-WSLH-201650/2020,2020-10-16
EPI_ISL_1036352,hCoV-19/USA/MD-HP02369/2020,2020-12-30
EPI_ISL_1094697,hCoV-19/USA/IA-CDC-2-3911717/2021,2021-01-15
EPI_ISL_1159662,hCoV-19/USA/IL-CDC-22052773/2021,2021-02-15
EPI_ISL_1136524,hCoV-19/USA/NV-NSPHL-LV_294773/2021,2021-01-29
EPI_ISL_886493,hCoV-19/USA/WI-CDC-LC0004131/2021,2021-01-02
EPI_ISL_1159452,hCoV-19/USA/IL-CDC-22027769/2021,2021-02-11
EPI_ISL_1159664,hCoV-19/USA/IL-CDC-22054494/2021,2021-02-14
EPI_ISL_1159619,hCoV-19/USA/IL-CDC-22054256/2021,2021-02-15
EPI_ISL_1132757,hCoV-19/USA/MN-MDH-2889/2021,2021-01-29
EPI_ISL_1136765,hCoV-19/USA/NV-NSPHL-NV2063428/2021,2021-01-11
EPI_ISL_955417,hCoV-19/USA/CA-CZB-19451/2021,2021-01-05
EPI_ISL_1136594,hCoV-19/USA/NV-NSPHL-NV2065527/2021,2021-01-25
EPI_ISL_1136460,hCoV-19/USA/NV-NSPHL-334579/2021,2021-02-05
EPI_ISL_1114109,hCoV-19/USA/NV-CDC-21954892/2021,2021-02-08
EPI_ISL_1090416,hCoV-19/USA/NV-CDC-21874605/2021,2021-02-07
EPI_ISL_1136833,hCoV-19/USA/NV-NSPHL-320476/2021,2021-01-05
EPI_ISL_907000,hCoV-19/USA/CA-QDX-3662/2021,2021-01-10
EPI_ISL_1038318,hCoV-19/USA/AZ-CDC-LC0011313/2021,2021-01-28
EPI_ISL_1137287,hCoV-19/USA/NV-NSPHL-LV_305367/2021,2021-02-22
EPI_ISL_1137281,hCoV-19/USA/NV-NSPHL-LV_306063/2021,2021-02-23
EPI_ISL_1114087,hCoV-19/USA/NV-CDC-21954670/2021,2021-02-09
EPI_ISL_1009824,hCoV-19/USA/WY-WPHL-21012370/2021,2021-01-28
EPI_ISL_1029428,hCoV-19/USA/GA-CDC-LC0001132/2020,2020-12-23
EPI_ISL_888088,hCoV-19/USA/GA-CDC-LC00001132/2020,2020-12-23
EPI_ISL_1038438,hCoV-19/USA/IL-CDC-LC0011214/2021,2021-02-01
EPI_ISL_888111,hCoV-19/USA/MN-CDC-LC00000254/2020,2020-12-24
EPI_ISL_1029154,hCoV-19/USA/MN-CDC-LC0000254/2020,2020-12-24
EPI_ISL_1021760,hCoV-19/USA/IL-CDC-LC0007194/2021,2021-01-18
EPI_ISL_803473,hCoV-19/USA/WI-WSLH-201233/2020,2020-10-30
EPI_ISL_708461,hCoV-19/USA/MN-MDH-2123/2020,2020-10-31
EPI_ISL_962094,hCoV-19/USA/IL-IDPH-I-000555/2020,2020-12-11
EPI_ISL_942242,hCoV-19/USA/WI-WSLH-202020/2020,2020-12-12
EPI_ISL_1067904,hCoV-19/USA/WI-WSLH-210185/2020,2020-12-27
EPI_ISL_984061,hCoV-19/USA/WI-WSLH-210234/2020,2020-12-27
EPI_ISL_984072,hCoV-19/USA/WI-WSLH-210263/2020,2020-12-30
EPI_ISL_984062,hCoV-19/USA/WI-WSLH-210235/2020,2020-12-27
EPI_ISL_1067902,hCoV-19/USA/WI-WSLH-210183/2020,2020-12-27
EPI_ISL_1067903,hCoV-19/USA/WI-WSLH-210184/2020,2020-12-27
EPI_ISL_884195,hCoV-19/USA/WY-WPHL-21006330/2021,2021-01-16
EPI_ISL_1095298,hCoV-19/USA/ND-CDC-2-3847138/2021,2021-01-26
EPI_ISL_1054930,hCoV-19/USA/ND-NDDH-0136/2021,2021-01-06
EPI_ISL_886495,hCoV-19/USA/MN-CDC-LC0005334/2021,2021-01-08
EPI_ISL_677345,hCoV-19/USA/WI-UW-1936/2020,2020-10-07
EPI_ISL_1090392,hCoV-19/USA/MO-CDC-21955643/2021,2021-02-10
EPI_ISL_1021774,hCoV-19/USA/SC-CDC-LC0007863/2021,2021-01-18
EPI_ISL_1029863,hCoV-19/USA/NC-CDC-LC0002653/2021,2021-01-03
EPI_ISL_1029876,hCoV-19/USA/NC-CDC-LC0002696/2021,2021-01-04
EPI_ISL_887970,hCoV-19/USA/NC-CDC-LC00002696/2021,2021-01-04
EPI_ISL_936888,hCoV-19/USA/IL-NM-5817/2021,2021-01-05
EPI_ISL_1158308,hCoV-19/USA/MI-MDHHS-SC24164/2021,2021-02-12
EPI_ISL_830592,hCoV-19/USA/NY-Wadsworth-21003601-01/2020,2020-12-28
EPI_ISL_1114579,hCoV-19/USA/MI-CDC-22026543/2021,2021-02-11
EPI_ISL_1086330,hCoV-19/USA/SC-CDC-21398917/2021,2021-01-24
EPI_ISL_1163497,hCoV-19/USA/IL-CDC-LC0016674/2021,2021-02-11
EPI_ISL_1032515,hCoV-19/USA/MN-CDC-LC0008701/2021,2021-01-20
EPI_ISL_886593,hCoV-19/USA/MN-CDC-LC0004946/2021,2021-01-04
EPI_ISL_1159309,hCoV-19/USA/PA-CDC-22122166/2021,2021-02-18
